rank,region,founder,university,admission_type,college,department,quota,applicants,rate
42,세종,사립,고려대학교(세종),논술(일반전형),공공정책대학,공공사회·통일외교학부,10,5,0.5
47,충북,국립,충북대학교,학생부종합(농어촌학생전형),경영대학,국제경영학과,2,1,0.5
47,충북,국립,충북대학교,학생부종합(농어촌학생전형),경영대학,경영정보학과,2,1,0.5
47,충북,국립,충북대학교,학생부종합(농어촌학생전형),공과대학,도시공학과,2,1,0.5
47,충북,국립,충북대학교,학생부종합(농어촌학생전형),농업생명환경대학,환경생명화학과,2,1,0.5
48,서울,사립,서울여자대학교,학생부종합(기회균형전형_농어촌학생)[정원외],과학기술융합대학,수학과,2,1,0.5
49,서울,사립,삼육대학교,농어촌전형,,인공지능융합학부,2,1,0.5
49,서울,사립,삼육대학교,농어촌전형,,화학생명과학과,2,1,0.5
24,서울,사립,숙명여자대학교,[논술] 논술우수자전형,생활과학대학,아동복지학부,9,5,0.56
33,서울,사립,성신여자대학교,논술우수자,,융합보안공학과,10,6,0.6
42,세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,식품생명공학과,10,6,0.6
14,경기,사립,경희대학교(용인),국제캠퍼스 논술우수자전형,자연계열,건축공학과,8,5,0.63
14,서울,사립,경희대학교(서울),국제캠퍼스 논술우수자전형,자연계열,건축공학과,8,5,0.63
42,세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,자유전공학부(과학기술),11,7,0.64
14,경기,사립,경희대학교(용인),국제캠퍼스 논술우수자전형,자연계열,사회기반시스템공학과,9,6,0.67
14,서울,사립,경희대학교(서울),국제캠퍼스 논술우수자전형,자연계열,사회기반시스템공학과,9,6,0.67
14,경기,사립,경희대학교(용인),서울캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],자연계열,미래정보디스플레이학부,3,2,0.67
14,서울,사립,경희대학교(서울),서울캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],자연계열,미래정보디스플레이학부,3,2,0.67
16,서울,사립,이화여자대학교,논술(논술전형),자연과학대학,물리학과,6,4,0.67
17,서울,사립,건국대학교(서울),논술(KU논술우수자),공과대학,인공지능학과,3,2,0.67
17,서울,사립,건국대학교(서울),논술(KU논술우수자),융합생명과학대학,동물자원과학과,3,2,0.67
20,서울,사립,홍익대학교(서울),농어촌학생전형,공과대학,신소재·화공시스템공학부,3,2,0.67
24,서울,사립,숙명여자대학교,[논술] 논술우수자전형,생활과학대학,식품영양학과,6,4,0.67
24,서울,사립,숙명여자대학교,[논술] 논술우수자전형,공과대학,신소재물리학부,3,2,0.67
24,서울,사립,숙명여자대학교,[학생부종합] 농어촌학생전형(정원외),법과대학,법학부,3,2,0.67
